kodi_projekti,emertimi,kodi_institucioni,kodi_programi,viti_fiskal,kodi_llogarie_ekonomike,burimi_i_financimit
PRJ-004382,"Loti 4: “Mbikëqyrje punimesh zbatimi në ndërtim 2025, për Drejtorinë Rajonale Korçë të OSSH sh.a”",INST-0243,,2025,231,Buxheti i Shtetit
PRJ-004383,"Loti 3: “Mbikëqyrje punimesh zbatimi në ndërtim 2025, për Drejtorinë Rajonale Tiranë OSSH të sh.a”",INST-0243,,2025,231,Buxheti i Shtetit
PRJ-004384,"Loti 2: “Mbikëqyrje punimesh zbatimi në ndërtim 2025, për Drejtorinë Rajonale Berat të OSSH sh.a”",INST-0243,,2025,231,Të ardhura të trashiguara
PRJ-004385,"“Mbikëqyrje punimesh zbatimi në ndërtim 2025, për Drejtoritë Rajonale të OSSH sh.a (11 Lote)”",INST-0243,,2025,231,Të ardhura të trashiguara
PRJ-004386,"Loti 1: “Mbikëqyrje punimesh zbatimi në ndërtim 2025, për Drejtorinë Rajonale Fier të OSSH sh.a”",INST-0243,,2025,230,Financim i huaj
PRJ-004387,Mirëmbajtje rrjeti hidraulik dhe elektrik të UT-së,INST-1016,,2025,230,Të ardhura të trashiguara
PRJ-004388,“Blerje gjenerator dhe UPS për ambientet e Vilës Nr. 5”.,INST-0364,,2025,230,Financim i huaj
PRJ-004389,"Loti 1 : “ Blerje kontenier nentokesor (kosha per mbetjet urbane ) 3m3 per Ndermarrjen e Sherbimeve te Pastrimit , Bashkia Fier”",INST-0558,,2025,230,Buxheti i Shtetit
PRJ-004390,“BLERJE MATERIALE TË BUTA DHE VESHMBATHJE” PËR DREJTORINË E SPITALIT I’HSAN ÇABEJ LUSHNJE,INST-0621,,2025,231,Të ardhura të trashiguara
PRJ-004391,Blerje medikamente tuberkulare të linjës së parë dhe të dytë për fëmijë dhe të rritur për Q.S.R.T ‘SHEFQET NDROQI’ me afat 24 muaj,INST-0621,,2025,231,Të ardhura të trashiguara
PRJ-004392,"Blerje Karburanti për ngrohje për njësitë shpenzuese të Universitetit të Mjekësisë, Tiranë",INST-1014,,2025,231,Financim i huaj
PRJ-004393,Rimodelimi i 16 Zyrave të Gjyqtarëve dhe Kryesekretarisë (Mobilim),INST-0436,,2025,230,Financim i huaj
PRJ-004394,"Ndërtimi Unaza Mustafakoc-Veski-Kocaj, Asfaltim i Unazës që lidh 5 fshatra",INST-0172,,2025,230,Buxheti i Shtetit
PRJ-004395,"Platformat elektronike të Tregtimit dhe Klerimit Shqipëri-Kosovë, për tregjet e energjisë elektrike dhe bashkimin e tregjeve",INST-0113,,2025,230,Financim i huaj
PRJ-004396,Blerje materiale elektrike,INST-0175,,2025,230,Të ardhura të trashiguara
PRJ-004397,"Biletë avioni vajtje-ardhje, Tiranë - Vienna - Zurich, Zurich - Tiranë",INST-0453,,2025,231,Financim i huaj
PRJ-004398,Blerje AUTOVETURE,INST-0123,,2025,231,Të ardhura të trashiguara
PRJ-004399,Blerje paisje te Teknologjise se Informacionit dhe Komunikimit (TIK),INST-0169,,2025,230,Financim i huaj
PRJ-004400,Loti 2: Blerje benzine pa plumb,INST-0172,,2025,230,Buxheti i Shtetit
PRJ-004401,Blerje Karburanti per Bashkine Tirane,INST-0172,,2025,231,Financim i huaj
PRJ-004402,Loti 1: Blerje nafte (Bludiesel),INST-0172,,2025,230,Financim i huaj
PRJ-004403,Biletë udhëtimi me avion: Tiranë-Vjenë-Tiranë,INST-0324,,2025,231,Buxheti i Shtetit
PRJ-004404,Peme Dekorative ( Pisha ),INST-0564,,2025,230,Të ardhura të trashiguara
PRJ-004405,Blerje karburanti,INST-0165,,2025,230,Buxheti i Shtetit
PRJ-004406,"Mirëmbajtje e sistemim të rrugëve qëndër bashki, rrugë rurale të njësive vendore, si dhe mirëmbajtje e sistemime të kanaleve kulluese e vaditëse",INST-0137,,2025,231,Të ardhura të trashiguara
PRJ-004407,"Supervizion punimesh për objektin: Ndërtim dhe Shtim i kapacitetit të sistemit të furnizimit me ujë në blloqet 1,2,3 dhe 4 në lagjen Mar Lula, Shkodër.",INST-0027,,2025,231,Të ardhura të trashiguara
PRJ-004408,"Supervizion: Ndertimi i rrjetit (K.U.N) në lagjen ""Baba Rexhepi"", Rruga ""Idriz Alidhima"", Lidhja e kolektorit të bulevardit të ri në rrugën ""Jonianët""dhe zëvendësimi i tubit të dërgimit të stacionit kryesor të pompimit të ujërave të zeza, Sarandë”.",INST-0027,,2025,231,Buxheti i Shtetit
PRJ-004409,Blerje Gazoil,INST-1011,,2025,230,Të ardhura të trashiguara
PRJ-004410,Loti 2 Blerje naftë (Gazoil Diesel) për automjete,INST-0436,,2025,231,Buxheti i Shtetit
PRJ-004411,Loti 1 “Blerje benzinë pa plumb për automjete”,INST-0436,,2025,231,Buxheti i Shtetit
PRJ-004412,Blerje karburant dhe vaj për automjete,INST-0436,,2025,230,Të ardhura të trashiguara
PRJ-004413,Blerje mjeti teknologjik per mbetjet urbane,INST-0122,,2025,230,Financim i huaj
PRJ-004414,"8“Mbrojtja dhe rehabilitimi i tokave të demtuara,ndertimin e mureve mbajtese,argjinaturave te ndryshme”",INST-0161,,2025,231,Të ardhura të trashiguara
PRJ-004415,Blerje Krburant,INST-0319,,2025,231,Financim i huaj
PRJ-004416,Blerje automjete Rul dhe Kamionçine per nevojat e Agjencise se Puneve Publike dhe Mirembajtjes,INST-0059,,2025,230,Të ardhura të trashiguara
PRJ-004417,Prodhim i ortofotove nga fotografitë ajrore historike,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004418,"“Rikonstruksioni i rrjetit TM dhe rikonstruksioni i 4 kabinave të mbetura (Verbas 3, Verbas 1, Portëza 10, Qaf Stefan 1) dhe Rrjeti TU për Fiderin Pulari 1, Nënstacioni Fier 1 35/6 kV”",INST-0243,,2025,230,Të ardhura të trashiguara
PRJ-004419,Blerje shërbime interneti për vitet 2026-2027,INST-0916,,2025,231,Buxheti i Shtetit
PRJ-004420,"Parandalimi dhe menaxhimi i fatkeqësive natyrore ""Blerja e një mjeti fadromë""",INST-0147,,2025,230,Buxheti i Shtetit
PRJ-004421,Christmas Market,INST-0040,,2025,231,Financim i huaj
PRJ-004422,“Blerje eskavator me goma për nevojat e Bordit të Ujitjes dhe Kullimit NPP”,INST-0570,,2025,230,Të ardhura të trashiguara
PRJ-004423,Materiale për Mirëmbajtjen e Moduleve të Lodrave,INST-0057,,2025,230,Financim i huaj
PRJ-004424,“Blerje materiale laboratorike për ngritjen e laboratorit të Fakultetit të Shëndetit”,INST-1010,,2025,230,Financim i huaj
PRJ-004425,"Blerje bazë materiale për shtim rrjeti K.U.Z në bllokun Vresht, lagja e Re",INST-0156,,2025,231,Të ardhura të trashiguara
PRJ-004426,Ristrukturim i 16 zyrave të Gjyqtarëve (Punime Ndërtimore),INST-0436,,2025,230,Financim i huaj
PRJ-004427,“Pajisje rehabilituese (Projekti “Laboratori i Diagnostikës dhe Optimizimit të Shëndetit”),INST-1015,,2025,230,Financim i huaj
PRJ-004428,Vajra dhe lubrifikant për automjete,INST-0057,,2025,231,Buxheti i Shtetit
PRJ-004429,Blerje Automjete ( Nje Kamion  per Transportin e Mbetjeve Urbane dhe Nje Mjet per Hapje Rruge),INST-0152,,2025,231,Të ardhura të trashiguara
PRJ-004430,"Blerje goma, vaj, antifrize, graso  dhe alkol për automjete",INST-0925,,2025,230,Të ardhura të trashiguara
PRJ-004431,Ndërtim sheshi dhe magazinë për Ndërmarrjen e Pastrimit si dhe ndërtim rruge deri tek sheshi.,INST-0568,,2025,231,Buxheti i Shtetit
PRJ-004432,Aplikacion online për matjen e ujrave,INST-0337,,2025,230,Financim i huaj
PRJ-004433,“Blerje dhe instalim i kondicionerëve” për vitin 2025 për nevoja të Universitetit “Ismail Qemali” Vlorë”,INST-1010,,2025,231,Financim i huaj
PRJ-004434,Blerje Automjeti Pick Up Zjarrefikes per nevojat e  Mzsh,INST-0176,,2025,230,Buxheti i Shtetit
PRJ-004435,"Blerje paisje kompjuterike (pc, ups, printer, etj)",INST-0124,,2025,231,Financim i huaj
PRJ-004436,"Blerje produkte ushqimore, perime, fruta dhe produkte të ngjashme me to.",INST-0120,,2025,231,Financim i huaj
PRJ-004437,“Blerje kamerash dhe licensash”,INST-0098,,2025,230,Buxheti i Shtetit
PRJ-004438,"Rikonstruksioni kabinave 20kV te N/Stacioneve Kashar, Qender, Selite, Traktora, Rajonal, Farke-Tirane",INST-0243,,2025,230,Financim i huaj
PRJ-004439,Blerje te biletave te transportit nderkombetar ajror me destinacion Tirane-Doha-Tirane,INST-0556,,2025,230,Financim i huaj
PRJ-004440,"“KUB Vlorë (Kanalizimet e Ujrave të Bardha) – Rindërtimi, ridimensionimi dhe rehabilitimi i kolektorëve kryesorë përgjatë rrugës Transballkanike, sipas loteve: nga rruga e Skelës deri te rruga Hasan Kushta (Albano dhe Romina), rruga Odise Grillo, si dhe k",INST-0175,,2025,231,Buxheti i Shtetit
PRJ-004441,Ndërhyrje rehabilituese në rrugët auto-pyjore,INST-0057,,2025,230,Të ardhura të trashiguara
PRJ-004442,Blerje bilete transporti nderkombetar Tirane-Skoci-Tirane 1 (nje) cope,INST-0077,,2025,230,Të ardhura të trashiguara
PRJ-004443,"Auditimi i pasqyrave financiare te Agjencise se Sigurimit te Depozitave dhe fondit te nderhyrjes se jashtezakonshme per vitet financiare te mbyllura ne date 31 dhjetor 2025, 2026, 2027, 2028.",INST-0070,,2025,231,Të ardhura të trashiguara
PRJ-004444,Sherbime dhe mirembajtje ne pyje,INST-0130,,2025,230,Të ardhura të trashiguara
PRJ-004445,Blerje automjet Zjarrefikës,INST-0144,,2025,230,Financim i huaj
PRJ-004446,F.V Blerje pajisje elektronike” për vitin 2025 për të nevoja të Universitetit “Ismail Qemali” Vlorë,INST-1010,,2025,230,Buxheti i Shtetit
PRJ-004447,“Blerje pajisje elektronike F-V”.,INST-0503,,2025,231,Të ardhura të trashiguara
PRJ-004448,BLERJE  BOJRA PRINTERI DHE FOTOKOPJE PËR NEVOJA TË UPT,INST-1012,,2025,231,Të ardhura të trashiguara
PRJ-004449,Blerje  automjeti për administratën,INST-0922,,2025,231,Financim i huaj
PRJ-004450,Investime në objektet arsimore: “Rikonstruksion i objekteve arsimore Gjimnazi Rubik dhe Shkolla 9-vjeçare Rubik”.,INST-0155,,2025,231,Buxheti i Shtetit
PRJ-004451,"Blerje karburanti për Drejtorinë e Përgjithshme, Drejtoritë Rajonale dhe Task-Forcën e Transportit Rrugor",INST-0338,,2025,231,Buxheti i Shtetit
PRJ-004452,F.V. Blerje smart board dhe postera dixhital për nevoja të Universitetit “Ismail Qemali” Vlorë,INST-1010,,2025,230,Financim i huaj
PRJ-004453,"“Blerje 3(tre) bileta avioni, vajtje ardhje Tiranë - Paris (Francë) – Tiranë dhe rezervim hoteli për 3 persona",INST-0329,,2025,231,Buxheti i Shtetit
PRJ-004454,"Blerje bileta te transportit ajror nderkombetar me itinerar Tiranë - Londër - Tiranë, 4 cope",INST-0546,,2025,231,Të ardhura të trashiguara
PRJ-004455,“Blerje bileta Udhetimi”.,INST-0146,,2025,231,Të ardhura të trashiguara
PRJ-004456,Shpenzime qiramarrje mjete transporti,INST-0337,,2025,230,Financim i huaj
PRJ-004457,"Rimodelimi i Sallës së Mbledhjeve, Paradhomës, Zyrave të: Kryetarit, Ndihmësave Ligjorë dhe Gazetarëve (Mobilim)",INST-0436,,2025,230,Financim i huaj
PRJ-004458,"Blerja e 3 (tre) biletave për transport ajror Tiranë, Shqipëri – Nish, Serbi – Tiranë, Shqipëri",INST-0334,,2025,231,Të ardhura të trashiguara
PRJ-004459,Shërbimi i lavanderisë dhe hotelerisë në pavionet e S.U.O.GJ. “Mbretëresha Geraldinë,INST-0621,,2025,230,Të ardhura të trashiguara
PRJ-004460,"“Hartimi i planit të mbarështimit të ekonomive pyjore dhe kullosore (Ekonomia pyjore Kaçinar), Bashkia Mirditë”.",INST-0155,,2025,230,Financim i huaj
PRJ-004461,"“Ndërtimi i infrastruktures së modeleve të integruara në zona me potencial zhvillimi, Divjakë: “Ferma e dijes dhe agroturizmit të ullishteve, Divjakë”",INST-0424,,2025,230,Buxheti i Shtetit
PRJ-004462,Blerje mini eskavator,INST-0130,,2025,230,Financim i huaj
PRJ-004463,"“Blerje kompjuter, programe kompjuterike, monitor e të ngjashme""",INST-1013,,2025,230,Financim i huaj
PRJ-004464,“Blerje Pajisje për Laboratorin e Tekstil Modë”,INST-1013,,2025,230,Buxheti i Shtetit
PRJ-004465,Pajisje për Laboratorin Dozimetrik Sekondar për monitorimin e ekspozimit ndaj rrezatimit jonizues të stafeve mjeksore të Rajonit të Veriut,INST-1011,,2025,230,Financim i huaj
PRJ-004466,Pajisje për Fab-Lab i Universitetit për ekonominë qarkulluese dhe teknologjitë dixhitale të avancuara,INST-1011,,2025,231,Buxheti i Shtetit
PRJ-004467,Blerje bazë materiale për ndërtimin e trotuareve dhe rehabilitimin e shesheve,INST-0156,,2025,231,Buxheti i Shtetit
PRJ-004468,Blerje materiale ndertimi per sherbimet publike te Agjencise se Puneve Publike dhe Mirembajtjes,INST-0059,,2025,231,Financim i huaj
PRJ-004469,Blerje struktura metalike me element zbukurues,INST-0587,,2025,231,Të ardhura të trashiguara
PRJ-004470,Blerje bileta avioni per itinerarin Tirane – Amsterdam e kthim,INST-0623,,2025,231,Të ardhura të trashiguara
PRJ-004471,"Materiale Mjekësore për Shërbimin e Kardiokirurgjisë, për 24 muaj, ndarë në lote",INST-0621,,2025,231,Financim i huaj
PRJ-004472,“Blerje kite reagent dhe materiale mjekësore për analizat e matësit në gjak astrupograma (Set për një analizë) për mbulimin e nevojave për një periudhë 24 muaj”,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004473,Blerje Autoambulancë Veterinare,INST-0053,,2025,230,Të ardhura të trashiguara
PRJ-004474,“Blerje mjete motorike fadromë dhe borëpastruese  ”,INST-0171,,2025,231,Buxheti i Shtetit
PRJ-004475,Loti 19 Filgastrim,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004476,Loti 13 Hyoscine butylbromide,INST-0621,,2025,231,Financim i huaj
PRJ-004477,Loti 14 Ephedrine hydrochloride,INST-0621,,2025,230,Financim i huaj
PRJ-004478,Loti 21 Cyclophosphamide anhydrous,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004479,Blerje medikamente për Spitalin Rajonal Elbasan” ndarë në 21 lote,INST-0621,,2025,230,Të ardhura të trashiguara
PRJ-004480,Blerje te biletave te transportit nderkombetar ajror me destinacion Tirane-Trieste-Tirane,INST-0556,,2025,231,Financim i huaj
PRJ-004481,BLERJEN E DY BILETAVE ME DESTINACION MALTEN UST,INST-1015,,2025,230,Të ardhura të trashiguara
PRJ-004482,"Blerje karburant (naftë), Bashkia Mirditë",INST-0155,,2025,230,Financim i huaj
PRJ-004483,Blerje bileta avioni,INST-1008,,2025,230,Financim i huaj
PRJ-004484,Shpenzime per bileta te transportit nderkombetar,INST-0116,,2025,231,Financim i huaj
PRJ-004485,Blerje bileta udhetim,INST-0999,,2025,230,Të ardhura të trashiguara
PRJ-004486,Projekte për ujësjellësa dhe rrugë të Bashkive të Qarkut Dibër,INST-0507,,2025,231,Të ardhura të trashiguara
PRJ-004487,Sherbim i pastrimit dhe thellimit te perroit te Glines me qellim parandalimin e permbytjeve,INST-0174,,2025,230,Të ardhura të trashiguara
PRJ-004488,Blerje gazoil për nevojat e “Green Belsh” sh.a për vitin 2025.,INST-0450,,2025,231,Të ardhura të trashiguara
PRJ-004489,Blerje bileta udhëtimi,INST-0999,,2025,230,Buxheti i Shtetit
PRJ-004490,"“Rehabilitimi i rrjetit të kanalizimeve Rr.Glaukia dhe Dalip Peza, Bashkia Durrës”",INST-0961,,2025,231,Buxheti i Shtetit
PRJ-004491,Blerje bileta avioni,INST-1007,,2025,230,Të ardhura të trashiguara
PRJ-004492,"Blerje bileta udhëtimi ajror, linjë direkte: Tiranë - Romë - Tiranë",INST-0659,,2025,230,Buxheti i Shtetit
PRJ-004493,“ Blerje mjete transporti për nevoja të Drejtorisë së Shërbimeve Publike”,INST-0171,,2025,231,Financim i huaj
PRJ-004494,F.V pjese kembimi per mjetet e bashkise Cerrik”,INST-0119,,2025,230,Të ardhura të trashiguara
PRJ-004495,"“Detergjentë, produkte higjenosanitare dhe aksesorë në ndihmë të pastrimit”, për vitin 2025.",INST-0364,,2025,230,Buxheti i Shtetit
PRJ-004496,Blerje Eskavator,INST-0119,,2025,230,Të ardhura të trashiguara
PRJ-004497,“Blerje  biletë transporti ajror ndërkombëtar Tiranë- Milano(Bergamo) –Vitoria Gasteiz-Tiranë”.,INST-0446,,2025,231,Financim i huaj
PRJ-004498,Blerje bileta udhëtimi me avion Tiranë -Samos- Tiranë,INST-1005,,2025,231,Financim i huaj
PRJ-004499,Blerje mjeti tip kamion dhe tip fadromë,INST-0139,,2025,231,Financim i huaj
PRJ-004500,Loti 5: “Blerje mish dhe nënproduktet e tij”,INST-0654,,2025,231,Të ardhura të trashiguara
PRJ-004501,"“Blerje produkte ushqimore për kopshtet, çerdhet, konviktin dhe shkollën Horizont”, me 5 Lote, për vitin 2025”,",INST-0654,,2025,230,Financim i huaj
PRJ-004502,Loti 4: “Blerje enë laboratorike,INST-0621,,2025,231,Financim i huaj
PRJ-004503,"BLERJE PAJISJE LABORATORI, ENË, REAGENT, GAZE, TERRENE, KITE, STANDARTE DHE KOLONA KROMATOGRAFIKE",INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004504,"Loti 1: “Blerje automjeti (eskavator) për ndërhyrje në zonat emergjente për Sektorin e MZSH-së, Bashkia Mirditë”.",INST-0155,,2025,230,Financim i huaj
PRJ-004505,"Blerje automjete për bashkinë Mirditë, ndare në 3 lote",INST-0155,,2025,230,Buxheti i Shtetit
PRJ-004506,"“Blerje bileta udhëtimi ajrorë ndërkombëtar, me destinacion Tiranë-Bruksel-Tiranë për 4 (katër) persona”.",INST-0552,,2025,231,Buxheti i Shtetit
PRJ-004507,"“Blerje 4(katër) biletë avioni, vajtje - ardhje”.",INST-0329,,2025,231,Të ardhura të trashiguara
PRJ-004508,"“Blerje 4(katër) biletë avioni, vajtje - ardhje”.",INST-0329,,2025,231,Financim i huaj
PRJ-004509,“Blerje materiale elektronike për funksionimin e pajisjeve të zyrës” për nevoja të Universitetit “Ismail Qemali” Vlorë,INST-1010,,2025,230,Buxheti i Shtetit
PRJ-004510,“Blerje eskavator me goma për nevojat e Bordit të Ujitjes dhe Kullimit NPP”,INST-0570,,2025,231,Buxheti i Shtetit
PRJ-004511,Blerje automjet zjarrefikes Bashkia Diber 2025,INST-0122,,2025,231,Financim i huaj
PRJ-004512,Blerje automjete Rul dhe Kamionçine per nevojat e Agjencise se Puneve Publike dhe Mirembajtjes,INST-0059,,2025,230,Buxheti i Shtetit
PRJ-004513,Blerje Kamion per grumbullim mbetjesh,INST-0405,,2025,230,Financim i huaj
PRJ-004514,Sigurim shëndetësor familjar për Oficerët Ndërlidhës Shqiptar për Aparatin e DPPSH-së,INST-0621,,2025,231,Financim i huaj
PRJ-004515,"Bileta transporti ajror ""Itinerar Rinas-Berlin-Rinas""",INST-0898,,2025,230,Financim i huaj
PRJ-004516,Loti 2 : “Riparimi dhe mirëmbajtja eautomjeteve të Ministrisë së Shëndetësisë dhe Mbrojtjes Sociale”,INST-0621,,2025,231,Buxheti i Shtetit
PRJ-004517,Loti 1: “Riparim dhe mirëmbajtje automjetesh për Ministrinë e Bujqësisë dhe Zhvillimit Rural”,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004518,Riparim dhe mirëmbajtje automjete ndarë në 3 (tre) lote,INST-0621,,2025,231,Të ardhura të trashiguara
PRJ-004519,Bileta transporti ajror,INST-0898,,2025,230,Të ardhura të trashiguara
PRJ-004520,"Sigurimi i godinave dhe Pajisjeve të Spitalit”, për Qëndrën Spitalore Rajonale të Tiranës “Shefqet Ndroqi”, Njësia Tiranë dhe Njësia Kavajë",INST-0621,,2025,231,Të ardhura të trashiguara
PRJ-004521,Blerja e biletave të transportit ajror ndërkombëtar,INST-0659,,2025,230,Të ardhura të trashiguara
PRJ-004522,"“Blerje biletë udhëtimi (klasi ekonomik), me itinerar Tiranë – Mauritius – Tiranë për 2 (dy) persona”.",INST-0103,,2025,230,Të ardhura të trashiguara
PRJ-004523,Blerje mjeti buldozer,INST-0570,,2025,231,Buxheti i Shtetit
PRJ-004524,"Veshje, uniforma policia (Policia Bashkiake)",INST-0141,,2025,230,Financim i huaj
PRJ-004525,"Blerje artikuj ushqimor per Konviktin ""Ndre Mjeda"", Bushat",INST-0174,,2025,230,Financim i huaj
PRJ-004526,"Blerje artikuj ushqimor per Qendren Sociale ""Besa"" Barbullush dhe Konviktin ""Ndre Mjeda"", Bushat",INST-0174,,2025,231,Të ardhura të trashiguara
PRJ-004527,Blerje materiale pastrimi,INST-0342,,2025,230,Financim i huaj
PRJ-004528,"Investim ne rrjetin TM, TU, 10 kV N/Stacioni Rrogozhine",INST-0243,,2025,231,Të ardhura të trashiguara
PRJ-004529,Rehabilitim i ujembledhesit T'PLA,INST-0173,,2025,231,Të ardhura të trashiguara
PRJ-004530,Blerje bileta avioni me destinacion Tiranë – Barcelonë (Spanjë) – Tiranë,INST-0506,,2025,231,Financim i huaj
PRJ-004531,Blerje konteniere ( kazane mbeturinash) te galvanizuar per mbetjet urbane te bashkise Shijak,INST-0168,,2025,231,Financim i huaj
PRJ-004532,Blerje Automjete me Karroceri (Pick Up)  te Perdorura,INST-0962,,2025,231,Buxheti i Shtetit
PRJ-004533,"Rivitalizimi i tregjeve tradicionale dhe agroushqimore, Bashkia Vlore",INST-0175,,2025,230,Të ardhura të trashiguara
PRJ-004534,Blerje biletash Tiranë Malaga (Spanjë) - Tiranë,INST-0167,,2025,231,Financim i huaj
PRJ-004535,Shërbim Pastrimi për Spitalin Universitar të Traumës,INST-0621,,2025,230,Buxheti i Shtetit
PRJ-004536,"""Materiale promocionale"" per nevojat e shoqerise Illyrian Guard Sh.A",INST-0454,,2025,231,Financim i huaj
PRJ-004537,"Blerje mjeti zjarrfikes 4*4, Bashkia Bulqize",INST-0118,,2025,231,Buxheti i Shtetit
PRJ-004538,Blerje bilete te transportit ajror,INST-0336,,2025,231,Të ardhura të trashiguara
PRJ-004539,"Blerje karburant, Naftë dhe Benzinë për nevojat e institucionit të Gjykatës Apelit të Juridiksionit të Përgjithshëm",INST-0433,,2025,230,Buxheti i Shtetit
PRJ-004540,Blerje bileta per udhetime jashte vendit,INST-0406,,2025,230,Të ardhura të trashiguara
PRJ-004541,"“Blerje materiale për dezinfektim, dezinsektim dhe deratizim",INST-0621,,2025,230,Të ardhura të trashiguara
PRJ-004542,"Zgjerimi i Rrjetit 20 kV, Ndërtim Kabine Elektrike dhe Ndërtim Rrjeti TU për zonën e Niklës N/St 110 /20 kV Fushë-Krujë",INST-0243,,2025,231,Të ardhura të trashiguara
PRJ-004543,Riparim dhe mirëmbajtje e mjeteve të transportit  për Autoritetin Rrugor Shqiptar,INST-0621,,2025,231,Financim i huaj
PRJ-004544,Shpenzime për mirëmbajtjen e aparateve pajisjeve teknike dhe veglave të punës,INST-0337,,2025,230,Buxheti i Shtetit
PRJ-004545,Blerje pllaka dhe bordura,INST-0337,,2025,231,Buxheti i Shtetit
PRJ-004546,"Hartimi i Projektimit dhe Mbikqyrjes të objektit “Blerje dhe instalimit të pajisjeve të paneleve diellore dhe pompës termike, në bashkinë Mirditë”",INST-0155,,2025,231,Buxheti i Shtetit
PRJ-004547,Dixhitalizimi i sallës së madhe të mbledhjeve,INST-0507,,2025,230,Financim i huaj
PRJ-004548,"Blerje Plehra Kimik, Furnitura Veterinare, Farëra, Fidanë e të tjera produkte Agrokulturore",INST-0332,,2025,230,Buxheti i Shtetit
PRJ-004549,"Blerje materiale sanitare (detergjentë, pastrues e.t.j.)",INST-0920,,2025,230,Buxheti i Shtetit
PRJ-004550,“Rikonstruksion kanali Mesit ne segmente te ndryshme nga hyrja e kanalit e ne vazhdim(pjeset e demtuara)”,INST-0148,,2025,230,Financim i huaj
PRJ-004551,Blerje bilete te transportit ajror Tiranë (Shqipëri) – New York (SHBA) - Tiranë (Shqipëri),INST-0336,,2025,230,Të ardhura të trashiguara
PRJ-004552,Blerje bileta udhëtimi Tiranë – Amsterdam - Tiranë,INST-0999,,2025,230,Financim i huaj
PRJ-004553,"Loti 2: “ Blerje kontenier (kosha per mbetjet urbane) 1.1m3 per Ndermarrjen e Sherbimeve te Pastrimit, Bashkia Fier”",INST-0558,,2025,230,Të ardhura të trashiguara
PRJ-004554,"“Blerje :Kontenier (Kosha Per Mbetjet Urbane) Për Nevoja Te Ndërmarrjes Së Shërbimeve Të Pastrimit,Bashkia Fier” me 2 Lote",INST-0558,,2025,230,Buxheti i Shtetit
PRJ-004555,"Loti 1 : “ Blerje kontenier nentokesor (kosha per mbetjet urbane ) 3m3 per Ndermarrjen e Sherbimeve te Pastrimit , Bashkia Fier”",INST-0558,,2025,231,Të ardhura të trashiguara
PRJ-004556,“Furnizim Vendosje e 10 stacioneve të reja të autobuzëve në zonat sub urbane në Tiranë”,INST-0337,,2025,230,Buxheti i Shtetit
PRJ-004557,Blerje kompjuterash për administratën e bashkisë për vitin 2025,INST-0132,,2025,230,Buxheti i Shtetit
PRJ-004558,Blerje bileta avioni (klasi ekonomik)v,INST-0542,,2025,231,Të ardhura të trashiguara
PRJ-004559,Blerje bileta transporti ajror Tirane Barcelone Tirane,INST-0514,,2025,230,Të ardhura të trashiguara
PRJ-004560,“Blerje biletë udhëtimi me itinerar vajtje ardhje “Tiranë – Abu Dhabi– Tiranë”.,INST-0505,,2025,231,Të ardhura të trashiguara
PRJ-004561,"Biletë avioni vajtje–ardhje, Tiranë - Warsaw, Warsaw  - Tiranë",INST-0453,,2025,231,Financim i huaj
PRJ-004562,"Investim ne rrjetin TU, 20kV, N/St Kavaje si dhe zgjerim rrjeti 20 kV si dhe ndertim kabine elektrike dhe ndertim rrjeti TU per zonen e Golemit",INST-0243,,2025,230,Të ardhura të trashiguara
PRJ-004563,"“Blerje materiale ndëtimi, tubo për KUN”",INST-0962,,2025,231,Të ardhura të trashiguara
PRJ-004564,Blerje Makina Pastrim,INST-0064,,2025,230,Financim i huaj
PRJ-004565,Blerje bileta avioni per itinerarin Tirane – Angli e kthim,INST-0623,,2025,231,Të ardhura të trashiguara
PRJ-004566,Blerje bileta avioni per itinerarin Tirane – Angli e kthim,INST-0623,,2025,231,Të ardhura të trashiguara
PRJ-004567,Konkursi i projektimit dhe shërbimet e lidhura për realizimin e projektit të zbatimit për objektin:  “Rehabilitimi i Aquapark Tirana,INST-0172,,2025,231,Financim i huaj
PRJ-004568,Loti i III: Mbikqyrja e punimeve për objektin “ Rikonstruksioni i rrugës automobilistike fshatit Mazrekë”,INST-0132,,2025,230,Buxheti i Shtetit
PRJ-004569,Blerje orendi për arredimin e sallës së madhe të mbledhjeve,INST-0507,,2025,230,Financim i huaj
PRJ-004570,Lot 5 Suxamethonium chloride 100 mg Flakon,INST-0986,,2025,230,Buxheti i Shtetit
PRJ-004571,Lot 4 Phytomenadion (Vitamin K) 10mg/1ml - 1 ml Ampule,INST-0986,,2025,231,Të ardhura të trashiguara
PRJ-004572,Lot 3 Amiodarone  150 mg/3 ml - 3 ml  Ampule,INST-0986,,2025,231,Buxheti i Shtetit
PRJ-004573,"Zhivllim i rrjetit TM 20 kV, kabina elektrike dhe rrjet TU me ABC në zonën Çukë, Sarandë dhe ndërtim kabina të reja, rrjet TU me ABC në fiderat 3, 6, qyteti Sarandë",INST-0239,,2025,231,Buxheti i Shtetit
