numri_urdherit_shpenzimit,numri_fatures,data_urdherit_shpenzimit,data_ekzekutimit_pageses,vlera_paguar_faktikisht,afati_aplikueshem_dite
URDH-0002367,FAT-0002591,2026-07-04,2026-07-10,148905.35,30
URDH-0002368,FAT-0002592,2026-08-18,2026-08-26,112063.87,30
URDH-0002369,FAT-0002593,2026-06-26,2026-06-26,21250.0,30
URDH-0002370,FAT-0002594,2026-07-08,2026-07-08,620000.0,30
URDH-0002371,FAT-0002595,2026-06-22,2026-07-03,299730.0,30
URDH-0002372,FAT-0002596,2026-06-29,2026-06-29,59650.0,30
URDH-0002373,FAT-0002597,2026-06-21,2026-06-24,2016.67,30
URDH-0002374,FAT-0002598,2026-07-25,2026-07-28,10123.05,30
URDH-0002375,FAT-0002599,2026-08-27,2026-08-27,17860.28,30
URDH-0002376,FAT-0002600,2026-06-20,2026-06-20,28600.0,30
URDH-0002377,FAT-0002601,2026-06-16,2026-06-22,4.41,30
URDH-0002378,FAT-0002602,2026-08-03,2026-08-03,25.88,30
URDH-0002379,FAT-0002603,2026-09-18,2026-09-18,64.71,30
URDH-0002380,FAT-0002604,2026-06-25,2026-07-07,149620.24,30
URDH-0002381,FAT-0002605,2026-08-17,2026-09-18,5684.8,30
URDH-0002382,FAT-0002606,2026-09-16,2026-09-16,253932.84,30
URDH-0002383,FAT-0002607,2026-07-02,2026-07-02,1873.04,30
URDH-0002384,FAT-0002608,2026-07-21,2026-07-24,3076.96,30
URDH-0002385,FAT-0002609,2026-06-28,2026-06-30,33125.61,30
URDH-0002386,FAT-0002610,2026-07-27,2026-07-27,55549.85,30
URDH-0002387,FAT-0002611,2026-09-11,2026-09-11,10324.54,30
URDH-0002388,FAT-0002612,2026-07-01,2026-07-05,368400.0,30
URDH-0002389,FAT-0002613,2026-06-19,2026-07-09,467500.0,30
URDH-0002390,FAT-0002614,2026-06-15,2026-06-16,2586.93,30
URDH-0002391,FAT-0002616,2026-06-26,2026-06-26,22195.22,30
URDH-0002392,FAT-0002617,2026-07-26,2026-08-28,377794.78,30
URDH-0002393,FAT-0002618,2026-07-01,2026-07-01,15067.15,30
URDH-0002394,FAT-0002619,2026-07-30,2026-08-16,9432.85,30
URDH-0002395,FAT-0002620,2026-06-25,2026-06-25,34670.07,30
URDH-0002396,FAT-0002621,2026-08-14,2026-08-18,595329.93,30
URDH-0002397,FAT-0002622,2026-06-22,2026-07-11,368900.0,30
URDH-0002398,FAT-0002623,2026-06-25,2026-07-08,78133.83,30
URDH-0002399,FAT-0002624,2026-08-13,2026-08-28,511766.17,30
URDH-0002400,FAT-0002625,2026-06-24,2026-07-06,243600.0,30
URDH-0002401,FAT-0002626,2026-07-03,2026-07-03,19391.79,30
URDH-0002402,FAT-0002628,2026-06-27,2026-07-21,39095.76,30
URDH-0002403,FAT-0002629,2026-08-01,2026-08-17,4654.24,30
URDH-0002404,FAT-0002630,2026-06-18,2026-06-18,7194.73,30
URDH-0002405,FAT-0002631,2026-07-15,2026-07-15,83805.27,30
URDH-0002406,FAT-0002632,2026-06-26,2026-07-09,8000.0,30
URDH-0002407,FAT-0002633,2026-06-27,2026-06-27,0.0,30
URDH-0002408,FAT-0002634,2026-06-20,2026-06-29,552.62,30
URDH-0002409,FAT-0002635,2026-07-20,2026-08-03,46316.54,30
URDH-0002410,FAT-0002636,2026-08-20,2026-08-21,12130.84,30
URDH-0002411,FAT-0002637,2026-06-25,2026-07-17,249900.0,30
URDH-0002412,FAT-0002638,2026-06-27,2026-07-10,44834.46,30
URDH-0002413,FAT-0002639,2026-08-09,2026-08-14,5165.54,30
URDH-0002414,FAT-0002640,2026-07-12,2026-07-12,534499.0,30
URDH-0002415,FAT-0002641,2026-06-26,2026-06-29,23827991.0,30
URDH-0002416,FAT-0002642,2026-06-22,2026-06-25,53700.39,30
URDH-0002417,FAT-0002643,2026-07-17,2026-07-17,32315.76,30
URDH-0002418,FAT-0002645,2026-07-07,2026-09-04,48841.98,30
URDH-0002419,FAT-0002646,2026-07-22,2026-07-22,50158.02,30
URDH-0002420,FAT-0002647,2026-07-09,2026-07-09,20.09,30
URDH-0002421,FAT-0002648,2026-08-31,2026-08-31,76.18,30
URDH-0002422,FAT-0002649,2026-06-30,2026-06-30,129936.17,30
URDH-0002423,FAT-0002650,2026-08-02,2026-08-02,85063.83,30
URDH-0002424,FAT-0002651,2026-06-28,2026-07-14,9691767.5,30
URDH-0002425,FAT-0002652,2026-08-01,2026-08-01,3744534.82,30
URDH-0002426,FAT-0002653,2026-09-17,2026-09-18,28209402.48,30
URDH-0002427,FAT-0002654,2026-07-07,2026-08-16,35358.88,30
URDH-0002428,FAT-0002655,2026-08-30,2026-09-18,31641.12,30
URDH-0002429,FAT-0002656,2026-07-04,2026-07-30,16389.56,30
URDH-0002430,FAT-0002657,2026-08-26,2026-08-26,16001.13,30
URDH-0002431,FAT-0002658,2026-09-12,2026-09-18,113159.31,30
URDH-0002432,FAT-0002659,2026-06-23,2026-06-23,36866.29,30
URDH-0002433,FAT-0002662,2026-07-29,2026-07-29,41905.99,30
URDH-0002434,FAT-0002663,2026-09-09,2026-09-18,16942.06,30
URDH-0002435,FAT-0002664,2026-07-05,2026-08-31,48800.0,30
URDH-0002436,FAT-0002665,2026-06-29,2026-07-06,18363.33,30
URDH-0002437,FAT-0002666,2026-07-15,2026-07-19,181636.67,30
URDH-0002438,FAT-0002667,2026-07-02,2026-07-19,2719.75,30
URDH-0002439,FAT-0002668,2026-08-10,2026-08-17,780.25,30
URDH-0002440,FAT-0002669,2026-06-23,2026-07-14,94075.54,30
URDH-0002441,FAT-0002671,2026-06-23,2026-06-23,31160.57,30
URDH-0002442,FAT-0002672,2026-08-16,2026-08-28,12589.43,30
URDH-0002443,FAT-0002673,2026-06-27,2026-06-27,250000.0,30
URDH-0002444,FAT-0002674,2026-07-09,2026-07-23,54776.14,30
URDH-0002445,FAT-0002675,2026-08-19,2026-09-13,44453.86,30
URDH-0002446,FAT-0002676,2026-07-03,2026-07-04,68707.81,30
URDH-0002447,FAT-0002677,2026-07-26,2026-07-26,129792.19,30
URDH-0002448,FAT-0002678,2026-06-26,2026-06-26,44793.6,30
URDH-0002449,FAT-0002679,2026-07-17,2026-07-17,82185.15,30
URDH-0002450,FAT-0002680,2026-09-02,2026-09-02,8021.24,30
URDH-0002451,FAT-0002681,2026-06-30,2026-07-04,28180.13,30
URDH-0002452,FAT-0002682,2026-08-26,2026-08-26,27399.39,30
URDH-0002453,FAT-0002683,2026-07-04,2026-07-23,56851.86,30
URDH-0002454,FAT-0002684,2026-08-17,2026-08-29,159648.14,30
URDH-0002455,FAT-0002685,2026-07-01,2026-07-19,34005.51,30
URDH-0002456,FAT-0002686,2026-08-29,2026-08-29,20234.49,30
URDH-0002457,FAT-0002687,2026-06-28,2026-07-07,13467.0,30
URDH-0002458,FAT-0002688,2026-06-29,2026-07-05,121186.63,30
URDH-0002459,FAT-0002689,2026-08-25,2026-09-07,83013.37,30
URDH-0002460,FAT-0002690,2026-06-30,2026-06-30,99900.0,30
URDH-0002461,FAT-0002691,2026-07-01,2026-07-01,52468.66,30
URDH-0002462,FAT-0002692,2026-07-29,2026-07-30,47531.34,30
URDH-0002463,FAT-0002693,2026-06-27,2026-07-07,73244.87,30
URDH-0002464,FAT-0002694,2026-08-25,2026-09-13,23789.51,30
URDH-0002465,FAT-0002695,2026-09-18,2026-09-18,2665.62,30
URDH-0002466,FAT-0002696,2026-07-12,2026-07-14,218000.0,30
URDH-0002467,FAT-0002697,2026-06-23,2026-06-29,6250.87,30
URDH-0002468,FAT-0002698,2026-08-05,2026-08-22,12799.13,30
URDH-0002469,FAT-0002699,2026-06-29,2026-08-03,4852.05,30
URDH-0002470,FAT-0002700,2026-08-21,2026-09-01,3379.31,30
URDH-0002471,FAT-0002701,2026-06-27,2026-07-11,67802.9,30
URDH-0002472,FAT-0002702,2026-08-25,2026-08-25,147309.93,30
URDH-0002473,FAT-0002703,2026-09-14,2026-09-14,254787.17,30
URDH-0002474,FAT-0002704,2026-06-23,2026-07-25,522336.11,30
URDH-0002475,FAT-0002705,2026-07-03,2026-08-08,13031.34,30
URDH-0002476,FAT-0002706,2026-08-08,2026-08-08,76040.36,30
URDH-0002477,FAT-0002707,2026-09-17,2026-09-18,160928.3,30
URDH-0002478,FAT-0002708,2026-07-03,2026-07-10,240387.6,30
URDH-0002479,FAT-0002709,2026-07-19,2026-07-25,7612.4,30
URDH-0002480,FAT-0002710,2026-06-27,2026-06-30,142000.0,30
URDH-0002481,FAT-0002711,2026-07-06,2026-07-20,174246.88,30
URDH-0002482,FAT-0002712,2026-08-10,2026-08-30,1055533.12,30
URDH-0002483,FAT-0002713,2026-07-07,2026-07-16,99900.0,30
URDH-0002484,FAT-0002715,2026-07-02,2026-07-14,445060.0,30
URDH-0002485,FAT-0002717,2026-09-06,2026-09-06,858538.44,30
URDH-0002486,FAT-0002719,2026-07-05,2026-07-10,1081625.48,30
URDH-0002487,FAT-0002720,2026-07-26,2026-07-26,732814.42,30
URDH-0002488,FAT-0002721,2026-09-13,2026-09-13,129560.09,30
URDH-0002489,FAT-0002722,2026-06-26,2026-07-07,271939.63,30
URDH-0002490,FAT-0002723,2026-07-06,2026-07-13,429990.0,30
URDH-0002491,FAT-0002724,2026-06-23,2026-07-15,59362.43,30
URDH-0002492,FAT-0002725,2026-08-25,2026-09-18,127187.57,30
URDH-0002493,FAT-0002727,2026-08-22,2026-08-22,397789.53,30
URDH-0002494,FAT-0002729,2026-08-06,2026-09-18,177106.88,30
URDH-0002495,FAT-0002730,2026-09-18,2026-09-18,409327.71,30
URDH-0002496,FAT-0002731,2026-07-04,2026-07-12,36340.2,30
URDH-0002497,FAT-0002732,2026-07-30,2026-08-28,107419.8,30
URDH-0002498,FAT-0002733,2026-07-06,2026-07-14,9364170.52,30
URDH-0002499,FAT-0002734,2026-08-10,2026-08-10,768795.5,30
URDH-0002500,FAT-0002735,2026-07-05,2026-07-05,49173.54,30
URDH-0002501,FAT-0002737,2026-09-13,2026-09-18,81477.49,30
URDH-0002502,FAT-0002738,2026-06-27,2026-06-27,569450.38,30
URDH-0002503,FAT-0002739,2026-07-27,2026-07-28,62549.62,30
URDH-0002504,FAT-0002740,2026-07-06,2026-07-06,158900.0,30
URDH-0002505,FAT-0002741,2026-06-30,2026-07-16,0.0,30
URDH-0002506,FAT-0002742,2026-07-05,2026-07-05,584.91,30
URDH-0002507,FAT-0002743,2026-08-08,2026-08-08,2770.46,30
URDH-0002508,FAT-0002744,2026-09-18,2026-09-18,773.12,30
URDH-0002509,FAT-0002746,2026-09-03,2026-09-16,24404.24,30
URDH-0002510,FAT-0002747,2026-07-09,2026-07-12,741.53,30
URDH-0002511,FAT-0002748,2026-09-16,2026-09-16,29258.47,30
URDH-0002512,FAT-0002749,2026-07-08,2026-07-23,0.0,30
URDH-0002513,FAT-0002750,2026-07-30,2026-08-19,0.0,30
URDH-0002514,FAT-0002751,2026-07-12,2026-07-12,15000.0,30
URDH-0002515,FAT-0002752,2026-07-07,2026-07-22,741.7,30
URDH-0002516,FAT-0002753,2026-07-09,2026-07-20,837.7,30
URDH-0002517,FAT-0002754,2026-07-31,2026-08-08,11330.3,30
URDH-0002518,FAT-0002755,2026-07-03,2026-08-26,71866.79,30
URDH-0002519,FAT-0002756,2026-08-26,2026-09-18,18840.9,30
URDH-0002520,FAT-0002757,2026-07-08,2026-07-15,440000.0,30
URDH-0002521,FAT-0002759,2026-07-11,2026-07-26,28336.06,30
URDH-0002522,FAT-0002760,2026-09-06,2026-09-06,56663.94,30
URDH-0002523,FAT-0002761,2026-06-27,2026-07-10,69607.57,30
URDH-0002524,FAT-0002762,2026-08-07,2026-08-17,13208.57,30
URDH-0002525,FAT-0002763,2026-09-16,2026-09-16,16683.86,30
URDH-0002526,FAT-0002764,2026-07-07,2026-07-07,68820.95,30
URDH-0002527,FAT-0002765,2026-08-03,2026-08-10,12279.05,30
URDH-0002528,FAT-0002766,2026-07-06,2026-07-07,271900.0,30
URDH-0002529,FAT-0002768,2026-07-25,2026-08-08,151469.49,30
URDH-0002530,FAT-0002769,2026-09-06,2026-09-18,346884.37,30
URDH-0002531,FAT-0002770,2026-07-02,2026-07-14,9262.18,30
URDH-0002532,FAT-0002771,2026-08-05,2026-08-23,8985.82,30
URDH-0002533,FAT-0002772,2026-07-12,2026-07-18,140133.54,30
URDH-0002534,FAT-0002773,2026-08-26,2026-08-31,74584.62,30
URDH-0002535,FAT-0002774,2026-09-18,2026-09-18,135281.84,30
URDH-0002536,FAT-0002775,2026-07-02,2026-07-02,83600.0,30
URDH-0002537,FAT-0002776,2026-07-11,2026-07-15,16327.46,30
URDH-0002538,FAT-0002777,2026-09-05,2026-09-18,42978.1,30
URDH-0002539,FAT-0002778,2026-07-08,2026-07-15,50000.0,30
URDH-0002540,FAT-0002779,2026-07-10,2026-07-12,57784.42,30
URDH-0002541,FAT-0002780,2026-08-20,2026-09-09,36843.58,30
URDH-0002542,FAT-0002781,2026-07-06,2026-07-23,25118.45,30
URDH-0002543,FAT-0002782,2026-08-08,2026-08-08,36681.55,30
URDH-0002544,FAT-0002783,2026-06-22,2026-07-16,219800.0,30
URDH-0002545,FAT-0002784,2026-07-09,2026-07-09,1061.57,30
URDH-0002546,FAT-0002785,2026-08-27,2026-09-06,33938.43,30
URDH-0002547,FAT-0002786,2026-07-07,2026-07-07,5913.8,30
URDH-0002548,FAT-0002787,2026-08-13,2026-08-15,23169.2,30
URDH-0002549,FAT-0002788,2026-07-08,2026-07-25,0.0,30
URDH-0002550,FAT-0002789,2026-08-15,2026-08-28,0.0,30
URDH-0002551,FAT-0002790,2026-07-15,2026-07-15,14364.62,30
URDH-0002552,FAT-0002792,2026-07-11,2026-07-25,40585.33,30
URDH-0002553,FAT-0002794,2026-06-29,2026-07-07,18649.63,30
URDH-0002554,FAT-0002795,2026-08-06,2026-09-18,121315.69,30
URDH-0002555,FAT-0002796,2026-09-10,2026-09-18,4834.69,30
URDH-0002556,FAT-0002797,2026-07-01,2026-07-05,495172.51,30
URDH-0002557,FAT-0002798,2026-09-02,2026-09-14,2700352.49,30
URDH-0002558,FAT-0002799,2026-07-01,2026-07-14,2174852.01,30
URDH-0002559,FAT-0002800,2026-07-21,2026-08-06,1121699.99,30
URDH-0002560,FAT-0002801,2026-06-26,2026-07-16,133572.88,30
URDH-0002561,FAT-0002802,2026-07-31,2026-07-31,3628.29,30
URDH-0002562,FAT-0002803,2026-09-18,2026-09-18,13998.83,30
URDH-0002563,FAT-0002804,2026-07-02,2026-07-10,339.33,30
URDH-0002564,FAT-0002805,2026-08-06,2026-08-17,432.17,30
URDH-0002565,FAT-0002806,2026-07-11,2026-07-26,9767620.0,30
URDH-0002566,FAT-0002807,2026-06-30,2026-06-30,332334.05,30
URDH-0002567,FAT-0002808,2026-08-31,2026-09-04,181314.74,30
URDH-0002568,FAT-0002809,2026-07-06,2026-07-17,910.18,30
URDH-0002569,FAT-0002811,2026-07-10,2026-07-10,191654.47,30
URDH-0002570,FAT-0002812,2026-08-08,2026-08-18,27830.24,30
URDH-0002571,FAT-0002813,2026-09-02,2026-09-02,78515.28,30
URDH-0002572,FAT-0002814,2026-07-01,2026-07-07,289294.4,30
URDH-0002573,FAT-0002815,2026-06-26,2026-07-12,2088238.39,30
URDH-0002574,FAT-0002817,2026-06-28,2026-07-14,4535502.0,30
URDH-0002575,FAT-0002818,2026-06-30,2026-06-30,397037.86,30
URDH-0002576,FAT-0002819,2026-08-23,2026-09-18,4449374.14,30
URDH-0002577,FAT-0002820,2026-07-06,2026-07-06,255000.0,30
URDH-0002578,FAT-0002821,2026-07-05,2026-07-10,344150.07,30
URDH-0002579,FAT-0002822,2026-07-19,2026-07-19,69176.47,30
URDH-0002580,FAT-0002823,2026-08-27,2026-08-27,30493.53,30
URDH-0002581,FAT-0002824,2026-07-06,2026-07-16,19413.15,30
URDH-0002582,FAT-0002825,2026-08-21,2026-08-21,80286.85,30
URDH-0002583,FAT-0002826,2026-07-08,2026-07-08,59520.0,30
URDH-0002584,FAT-0002827,2026-07-11,2026-07-20,72000.0,30
URDH-0002585,FAT-0002828,2026-07-09,2026-07-20,223857.17,30
URDH-0002586,FAT-0002829,2026-08-12,2026-08-26,34320.9,30
URDH-0002587,FAT-0002830,2026-09-18,2026-09-18,8472.93,30
URDH-0002588,FAT-0002831,2026-07-09,2026-07-17,18653.96,30
URDH-0002589,FAT-0002832,2026-08-03,2026-08-20,30152.64,30
URDH-0002590,FAT-0002833,2026-09-18,2026-09-18,105915.4,30
URDH-0002591,FAT-0002834,2026-07-09,2026-07-09,3426.67,30
URDH-0002592,FAT-0002835,2026-08-19,2026-09-04,1415.83,30
URDH-0002593,FAT-0002836,2026-07-06,2026-07-30,395000.0,30
URDH-0002594,FAT-0002837,2026-07-12,2026-07-28,489500.0,30
URDH-0002595,FAT-0002839,2026-08-06,2026-08-18,23309.34,30
URDH-0002596,FAT-0002840,2026-07-15,2026-07-15,165600.0,30
URDH-0002597,FAT-0002841,2026-07-09,2026-07-12,3719.16,30
URDH-0002598,FAT-0002842,2026-09-02,2026-09-02,44880.84,30
URDH-0002599,FAT-0002843,2026-07-16,2026-08-26,53637.84,30
URDH-0002600,FAT-0002844,2026-08-14,2026-08-20,3062.16,30
URDH-0002601,FAT-0002845,2026-07-01,2026-07-01,20525.33,30
URDH-0002602,FAT-0002846,2026-08-20,2026-09-18,18111.04,30
URDH-0002603,FAT-0002847,2026-07-07,2026-07-07,29791.47,30
URDH-0002604,FAT-0002848,2026-08-25,2026-09-18,14708.53,30
URDH-0002605,FAT-0002849,2026-07-05,2026-07-10,17400000.0,30
URDH-0002606,FAT-0002850,2026-07-03,2026-08-19,213382.03,30
URDH-0002607,FAT-0002851,2026-08-15,2026-08-15,13215395.6,30
URDH-0002608,FAT-0002852,2026-09-18,2026-09-18,4791820.37,30
URDH-0002609,FAT-0002853,2026-07-17,2026-07-19,2851.23,30
URDH-0002610,FAT-0002854,2026-07-27,2026-07-28,30459.4,30
URDH-0002611,FAT-0002855,2026-09-17,2026-09-17,56689.38,30
URDH-0002612,FAT-0002856,2026-07-16,2026-07-24,819000.0,30
URDH-0002613,FAT-0002857,2026-07-08,2026-07-13,130855.4,30
URDH-0002614,FAT-0002858,2026-08-03,2026-08-03,509457.95,30
URDH-0002615,FAT-0002859,2026-09-18,2026-09-18,4467986.64,30
URDH-0002616,FAT-0002860,2026-06-30,2026-06-30,182232.38,30
URDH-0002617,FAT-0002861,2026-08-28,2026-09-06,226767.62,30
URDH-0002618,FAT-0002862,2026-07-16,2026-07-20,417646.86,30
URDH-0002619,FAT-0002863,2026-08-01,2026-08-20,89753.69,30
URDH-0002620,FAT-0002864,2026-09-11,2026-09-18,242599.45,30
URDH-0002621,FAT-0002865,2026-07-05,2026-08-19,16676976.7,30
URDH-0002622,FAT-0002866,2026-08-02,2026-08-18,2348966.03,30
URDH-0002623,FAT-0002867,2026-08-29,2026-09-18,23467557.27,30
URDH-0002624,FAT-0002868,2026-07-09,2026-09-02,296632.67,30
URDH-0002625,FAT-0002869,2026-08-11,2026-08-11,132974.04,30
URDH-0002626,FAT-0002870,2026-07-10,2026-08-12,26230.51,30
URDH-0002627,FAT-0002871,2026-09-06,2026-09-09,137487.26,30
URDH-0002628,FAT-0002872,2026-06-29,2026-07-12,35198.2,30
URDH-0002629,FAT-0002873,2026-08-25,2026-09-04,42526.41,30
URDH-0002630,FAT-0002874,2026-09-18,2026-09-18,6160.39,30
URDH-0002631,FAT-0002875,2026-07-11,2026-08-07,17991.56,30
URDH-0002632,FAT-0002876,2026-09-01,2026-09-01,22569.5,30
URDH-0002633,FAT-0002877,2026-09-18,2026-09-18,42132.93,30
URDH-0002634,FAT-0002879,2026-07-03,2026-09-03,4657.27,30
URDH-0002635,FAT-0002880,2026-08-14,2026-08-24,6726.73,30
URDH-0002636,FAT-0002881,2026-07-03,2026-07-08,80405.58,30
URDH-0002637,FAT-0002882,2026-07-26,2026-09-18,19594.42,30
URDH-0002638,FAT-0002883,2026-07-11,2026-08-25,489000.0,30
URDH-0002639,FAT-0002884,2026-07-12,2026-07-28,368000.0,30
URDH-0002640,FAT-0002885,2026-07-09,2026-07-14,117061.2,30
URDH-0002641,FAT-0002886,2026-08-24,2026-08-30,64439.34,30
URDH-0002642,FAT-0002887,2026-07-11,2026-07-20,89000.0,30
URDH-0002643,FAT-0002888,2026-07-09,2026-07-18,7301.0,30
URDH-0002644,FAT-0002889,2026-08-01,2026-08-15,52684.04,30
URDH-0002645,FAT-0002890,2026-08-30,2026-08-30,145514.95,30
URDH-0002646,FAT-0002892,2026-08-18,2026-09-18,40966.92,30
URDH-0002647,FAT-0002893,2026-07-03,2026-07-09,279000.0,30
URDH-0002648,FAT-0002894,2026-07-01,2026-08-19,609844.82,30
URDH-0002649,FAT-0002895,2026-07-30,2026-08-07,361213.39,30
URDH-0002650,FAT-0002896,2026-09-07,2026-09-07,1002941.79,30
URDH-0002651,FAT-0002897,2026-07-17,2026-07-22,111166.5,30
URDH-0002652,FAT-0002898,2026-07-08,2026-07-08,129317.46,30
URDH-0002653,FAT-0002899,2026-08-04,2026-09-06,220682.54,30
URDH-0002654,FAT-0002900,2026-07-04,2026-07-04,88057.77,30
URDH-0002655,FAT-0002902,2026-07-11,2026-07-14,47648.28,30
URDH-0002656,FAT-0002903,2026-08-10,2026-08-15,62224.1,30
URDH-0002657,FAT-0002904,2026-09-12,2026-09-18,145127.62,30
URDH-0002658,FAT-0002905,2026-07-12,2026-07-21,238700.67,30
URDH-0002659,FAT-0002906,2026-08-31,2026-09-03,404967.24,30
URDH-0002660,FAT-0002907,2026-07-06,2026-07-21,273536.49,30
URDH-0002661,FAT-0002908,2026-07-04,2026-07-04,230000.0,30
URDH-0002662,FAT-0002910,2026-08-02,2026-08-03,642830.18,30
URDH-0002663,FAT-0002911,2026-09-18,2026-09-18,85339.35,30
URDH-0002664,FAT-0002912,2026-07-08,2026-07-16,14113.19,30
URDH-0002665,FAT-0002913,2026-07-28,2026-08-03,83986.81,30
URDH-0002666,FAT-0002914,2026-07-02,2026-07-16,205111.63,30
URDH-0002667,FAT-0002915,2026-08-24,2026-08-24,23888.37,30
URDH-0002668,FAT-0002916,2026-07-07,2026-07-07,122500.0,30
URDH-0002669,FAT-0002917,2026-07-06,2026-09-05,72574.45,30
URDH-0002670,FAT-0002918,2026-08-30,2026-09-05,10425.55,30
URDH-0002671,FAT-0002919,2026-07-19,2026-07-19,36400.47,30
URDH-0002672,FAT-0002920,2026-09-07,2026-09-07,132967.53,30
URDH-0002673,FAT-0002921,2026-07-09,2026-07-09,0.0,30
URDH-0002674,FAT-0002922,2026-07-30,2026-07-30,0.0,30
URDH-0002675,FAT-0002923,2026-07-03,2026-07-03,341194.08,30
URDH-0002676,FAT-0002924,2026-08-10,2026-08-10,38813.46,30
URDH-0002677,FAT-0002925,2026-08-30,2026-09-05,43991.46,30
URDH-0002678,FAT-0002927,2026-07-04,2026-07-25,289129.43,30
URDH-0002679,FAT-0002928,2026-08-14,2026-09-06,172873.7,30
URDH-0002680,FAT-0002929,2026-09-18,2026-09-18,274796.86,30
URDH-0002681,FAT-0002932,2026-07-06,2026-07-06,21632.52,30
URDH-0002682,FAT-0002934,2026-09-18,2026-09-18,6283.15,30
URDH-0002683,FAT-0002935,2026-07-06,2026-07-06,119704.99,30
URDH-0002684,FAT-0002936,2026-09-02,2026-09-08,987223.12,30
URDH-0002685,FAT-0002938,2026-08-19,2026-09-11,77758.63,30
URDH-0002686,FAT-0002939,2026-09-17,2026-09-18,103722.16,30
URDH-0002687,FAT-0002940,2026-06-29,2026-06-29,53093.74,30
URDH-0002688,FAT-0002941,2026-08-04,2026-08-04,46146.26,30
URDH-0002689,FAT-0002942,2026-07-11,2026-07-11,44573.45,30
URDH-0002690,FAT-0002943,2026-07-23,2026-07-28,63426.55,30
URDH-0002691,FAT-0002945,2026-08-31,2026-08-31,266845.35,30
URDH-0002692,FAT-0002946,2026-07-03,2026-07-05,142680.83,30
URDH-0002693,FAT-0002947,2026-08-15,2026-08-15,154319.17,30
URDH-0002694,FAT-0002948,2026-07-02,2026-07-19,130324.95,30
URDH-0002695,FAT-0002949,2026-08-11,2026-08-13,88675.05,30
URDH-0002696,FAT-0002950,2026-07-08,2026-07-14,458334.0,30
URDH-0002697,FAT-0002951,2026-07-04,2026-07-09,87018.27,30
URDH-0002698,FAT-0002952,2026-08-05,2026-08-18,68231.73,30
URDH-0002699,FAT-0002953,2026-07-04,2026-08-26,22877.19,30
URDH-0002700,FAT-0002954,2026-08-19,2026-08-19,380634.82,30
URDH-0002701,FAT-0002955,2026-09-17,2026-09-18,346487.99,30
URDH-0002702,FAT-0002956,2026-07-12,2026-07-12,775.84,30
URDH-0002703,FAT-0002957,2026-08-10,2026-09-14,740.91,30
URDH-0002704,FAT-0002958,2026-09-18,2026-09-18,2977.25,30
URDH-0002705,FAT-0002959,2026-07-11,2026-08-15,91132.3,30
URDH-0002706,FAT-0002961,2026-09-05,2026-09-14,40083.11,30
URDH-0002707,FAT-0002962,2026-07-02,2026-08-22,957300.0,30
URDH-0002708,FAT-0002963,2026-07-08,2026-07-18,227072.55,30
URDH-0002709,FAT-0002964,2026-09-05,2026-09-18,34481.36,30
URDH-0002710,FAT-0002965,2026-07-15,2026-07-16,272848.04,30
URDH-0002711,FAT-0002966,2026-08-26,2026-09-07,113070.77,30
URDH-0002712,FAT-0002967,2026-09-18,2026-09-18,254081.19,30
URDH-0002713,FAT-0002968,2026-07-05,2026-07-22,202325.24,30
URDH-0002714,FAT-0002969,2026-08-18,2026-08-18,345624.76,30
URDH-0002715,FAT-0002970,2026-07-03,2026-07-03,912.51,30
URDH-0002716,FAT-0002971,2026-09-02,2026-09-08,2244.91,30
URDH-0002717,FAT-0002972,2026-07-05,2026-07-20,75155.2,30
URDH-0002718,FAT-0002973,2026-09-04,2026-09-11,61230.13,30
URDH-0002719,FAT-0002974,2026-07-10,2026-07-15,579148.28,30
URDH-0002720,FAT-0002975,2026-08-03,2026-08-15,19096.13,30
URDH-0002721,FAT-0002976,2026-09-18,2026-09-18,201755.59,30
URDH-0002722,FAT-0002977,2026-07-11,2026-07-24,40520.4,30
URDH-0002723,FAT-0002978,2026-09-13,2026-09-13,33407.83,30
URDH-0002724,FAT-0002979,2026-07-18,2026-08-02,61218.63,30
URDH-0002725,FAT-0002980,2026-08-25,2026-08-28,128024.19,30
URDH-0002726,FAT-0002981,2026-07-09,2026-07-09,121960.65,30
URDH-0002727,FAT-0002982,2026-08-22,2026-09-02,518639.45,30
URDH-0002728,FAT-0002983,2026-07-14,2026-07-14,449995.0,30
URDH-0002729,FAT-0002984,2026-07-01,2026-07-09,46044.79,30
URDH-0002730,FAT-0002986,2026-07-02,2026-08-01,77317.42,30
URDH-0002731,FAT-0002987,2026-08-02,2026-08-02,209102.58,30
URDH-0002732,FAT-0002988,2026-07-05,2026-07-17,95400.0,30
URDH-0002733,FAT-0002989,2026-07-19,2026-07-19,90288606.0,30
URDH-0002734,FAT-0002990,2026-07-10,2026-07-10,12850.27,30
URDH-0002735,FAT-0002992,2026-07-15,2026-07-15,465000.0,30
URDH-0002736,FAT-0002993,2026-07-09,2026-07-28,153891439.52,30
URDH-0002737,FAT-0002994,2026-07-05,2026-07-07,76453.63,30
URDH-0002738,FAT-0002995,2026-08-09,2026-09-18,1620.16,30
URDH-0002739,FAT-0002996,2026-09-18,2026-09-18,21926.22,30
URDH-0002740,FAT-0002997,2026-06-26,2026-07-20,802500.0,30
URDH-0002741,FAT-0002998,2026-07-10,2026-07-15,6574.56,30
URDH-0002742,FAT-0002999,2026-08-22,2026-08-24,11110.36,30
